comprador_unico,n_items_sum,lead_min,n_categorias_sum,n_sellers_sum,reviews_buenas,freight_total_sum,frequency,recencia,compras_x_mes,monto_rango,installments_max,monto_sum,ordenes_180d,review_max,recencia_rel,ordenes_90d,monto_60d,freight_ratio_sum,monto_90d,cat_div_ratio,dow_distintos,meses_activo,n_items_max,ordenes_60d,ordenes_30d,cuotas_uso_ratio
1,1.0,9.0,1.0,1.0,0.0,16.39,1.0,60.0,0.5,0.0,1.0,106.38,1.0,1.0,1.0,1.0,0.0,0.1821313479275475,106.38,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1.0,6.0,1.0,1.0,1.0,19.98,1.0,22.0,1.0,0.0,2.0,89.88,1.0,5.0,1.0,1.0,89.88,0.2858369098712446,89.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,14.0,1.0,1.0,1.0,29.68,1.0,21.0,1.0,0.0,1.0,156.67,1.0,5.0,1.0,1.0,156.67,0.23371919048743997,156.67,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,1.0,10.0,1.0,1.0,1.0,17.73,1.0,65.0,0.46153846153846156,0.0,10.0,299.72,1.0,5.0,1.0,1.0,0.0,0.06287457002021349,299.72,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,15.0,1.0,1.0,1.0,15.18,1.0,66.0,0.45454545454545453,0.0,1.0,75.18,1.0,5.0,1.0,1.0,0.0,0.253,75.18,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,2.0,17.0,1.0,1.0,1.0,51.32,1.0,75.0,0.4,0.0,1.0,161.3,1.0,5.0,1.0,1.0,0.0,0.46663029641753045,161.3,1.0,1.0,1.0,2.0,0.0,0.0,0.0
1,1.0,15.0,1.0,1.0,1.0,57.79,1.0,118.0,0.2542372881355932,0.0,5.0,217.78,1.0,5.0,1.0,0.0,0.0,0.36121007562972685,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,14.0,1.0,1.0,1.0,17.6,1.0,41.0,0.7317073170731707,0.0,6.0,67.5,1.0,4.0,1.0,1.0,67.5,0.3527054108216433,67.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,20.0,1.0,1.0,1.0,28.2,1.0,77.0,0.3896103896103896,0.0,8.0,145.5,1.0,4.0,1.0,1.0,0.0,0.24040920716112532,145.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,10.0,1.0,1.0,1.0,12.19,1.0,60.0,0.5,0.0,6.0,110.89,1.0,5.0,1.0,1.0,0.0,0.12350557244174265,110.89,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,10.0,1.0,1.0,1.0,17.81,1.0,18.0,1.0,0.0,1.0,97.81,1.0,5.0,1.0,1.0,97.81,0.222625,97.81,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,1.0,2.0,1.0,1.0,1.0,13.08,1.0,13.0,1.0,0.0,1.0,65.47,1.0,5.0,1.0,1.0,65.47,0.24966596678755487,65.47,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,1.0,20.0,1.0,1.0,1.0,15.79,1.0,42.0,0.7142857142857143,0.0,1.0,40.78,1.0,5.0,1.0,1.0,40.78,0.6318527410964386,40.78,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1.0,7.0,1.0,1.0,1.0,15.67,1.0,58.0,0.5172413793103449,0.0,2.0,273.27,1.0,5.0,1.0,1.0,273.27,0.0608307453416149,273.27,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,26.0,1.0,1.0,0.0,26.36,1.0,53.0,0.5660377358490566,0.0,3.0,216.26,1.0,3.0,1.0,1.0,216.26,0.1388098999473407,216.26,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,7.0,1.0,1.0,1.0,9.34,1.0,56.0,0.5357142857142857,0.0,1.0,35.24,1.0,5.0,1.0,1.0,35.24,0.36061776061776063,35.24,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1.0,7.0,1.0,1.0,0.0,16.64,1.0,62.0,0.48387096774193544,0.0,3.0,286.54,1.0,3.0,1.0,1.0,0.0,0.061652463875509454,286.54,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,12.0,1.0,1.0,1.0,12.69,1.0,76.0,0.39473684210526316,0.0,5.0,50.68,1.0,5.0,1.0,1.0,0.0,0.33403527244011577,50.68,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0,1.0,10.0,1.0,1.0,1.0,16.66,1.0,57.0,0.5357142857142857,0.0,2.0,105.18,1.0,5.0,1.0,1.0,32.09,0.22492307692307692,77.11,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,11.0,1.0,1.0,1.0,19.98,1.0,20.0,1.0,0.0,1.0,89.88,1.0,5.0,1.0,1.0,89.88,0.2858369098712446,89.88,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,1.0,6.0,1.0,1.0,1.0,16.54,1.0,51.0,0.5882352941176471,0.0,2.0,146.44,1.0,5.0,1.0,1.0,146.44,0.127328714395689,146.44,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0,2.0,9.0,2.0,2.0,2.0,30.509999999999998,2.0,33.0,1.0,15.11,3.0,175.31,2.0,5.0,0.7333333333333333,2.0,175.31,0.42582098964229165,175.31,0.5,2.0,1.0,1.0,1.0,0.0,1.0
1,1.0,13.0,1.0,1.0,1.0,14.17,1.0,41.0,0.7317073170731707,0.0,3.0,74.16,1.0,5.0,1.0,1.0,74.16,0.23620603433905651,74.16,1.0,1.0,1.0,1.0,1.0,0.0,1.0
