Decil,N° Casos,N° Respuestas,Resp. Acumuladas,% Eventos,Gain,Lift Acumulado
1,5123,114,114,21.76,21.76,2.18
2,5122,68,182,12.98,34.73,1.74
3,5122,57,239,10.88,45.61,1.52
4,5123,54,293,10.31,55.92,1.4
5,5122,45,338,8.59,64.5,1.29
6,5122,33,371,6.3,70.8,1.18
7,5123,39,410,7.44,78.24,1.12
8,5122,49,459,9.35,87.6,1.1
9,5122,31,490,5.92,93.51,1.04
10,5123,34,524,6.49,100.0,1.0
