Decil,N° Casos,N° Respuestas,Resp. Acumuladas,% Eventos,Gain,Lift Acumulado
1,2688,2674,2674,10.05,10.05,1.01
2,2687,2671,5345,10.04,20.1,1.01
3,2687,2667,8012,10.03,30.12,1.0
4,2688,2659,10671,10.0,40.12,1.0
5,2687,2671,13342,10.04,50.16,1.0
6,2687,2669,16011,10.03,60.2,1.0
7,2688,2657,18668,9.99,70.19,1.0
8,2687,2654,21322,9.98,80.17,1.0
9,2687,2649,23971,9.96,90.13,1.0
10,2688,2626,26597,9.87,100.0,1.0
