customer_unique_id,is_churn,recency_obs,frequency_obs,ticket_prom,avg_items,avg_freight,freight_ratio,n_sellers,avg_cuotas,max_cuotas,lead_time_prom,delay_max,pct_boleto,pct_credito,pct_finde,n_categorias,review_score,reg_CentroOeste,reg_Nordeste,reg_Norte,reg_Sudeste,reg_Sur
7c396fd4830fd04220f754e42b4e5bff,1,51.0,2.0,41.41,1.0,8.72,0.26858043761596717,2.0,1.0,1.0,4.5,-8.0,0.0,0.5,0.0,2.0,4.5,0.0,0.0,0.0,1.0,0.0
7c142cf63193a1473d2e66489a9ae977,1,3.0,1.0,72.2,1.0,27.2,0.6044444444444445,1.0,1.0,1.0,13.0,-13.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0
80bb27c7c16e8f973207a5086ab329e2,1,135.0,1.0,175.26,1.0,27.36,0.18498985801217038,1.0,6.0,6.0,16.0,-6.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0
932afa1e708222e5821dac9cd5db4cae,1,190.0,1.0,75.16,1.0,15.17,0.2528754792465411,1.0,3.0,3.0,9.0,-12.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
39382392765b6dc74812866ee5ee92a7,1,302.0,1.0,35.95,1.0,16.05,0.806532663316583,1.0,1.0,1.0,9.0,-32.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
299905e3934e9e181bfb2e164dd4b4f8,1,116.0,1.0,169.76,1.0,19.77,0.1318087872524835,1.0,1.0,1.0,18.0,-7.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
f2a85dec752b8517b5e58a06ff3cd937,1,189.0,1.0,259.06,2.0,61.06,0.30838383838383837,1.0,1.0,1.0,12.0,-9.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
782987b81c92239d922aa49d6bd4200b,1,131.0,1.0,114.13,1.0,16.13,0.16459183673469388,1.0,1.0,1.0,5.0,-20.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
d0ff1a7468fcc46b8fc658ab35d2a12c,1,1.0,1.0,29.75,1.0,11.85,0.6620111731843575,1.0,1.0,1.0,6.0,-14.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
634f09f6075fe9032e6c19609ffe995a,1,26.0,1.0,92.97,1.0,16.97,0.2232894736842105,1.0,1.0,1.0,13.0,-15.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0
d699688533772c15a061e8ce81cb56df,1,65.0,1.0,118.86,1.0,8.96,0.08152866242038218,1.0,1.0,1.0,21.0,11.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
1974875b4a1d2e2ee6d586e3ba4d7602,1,104.0,1.0,313.19,1.0,34.19,0.1225448028673835,1.0,1.0,1.0,8.0,-5.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
f1f4f45c8602d0db1329eed1c8e935d4,1,113.0,1.0,43.0,1.0,15.1,0.5412186379928315,1.0,1.0,1.0,7.0,-14.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
c796780c7daeab9e94cc052b1f103b21,1,186.0,1.0,154.19,1.0,34.2,0.28502375197933166,1.0,4.0,4.0,11.0,-12.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
4ca5f90433afb5493247f0bafb583483,1,109.0,1.0,95.67,1.0,25.77,0.3686695278969957,1.0,9.0,9.0,7.0,-20.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0
4acce2834231e13b1514915adda5ec2b,1,188.0,1.0,153.72,1.0,14.72,0.10589928057553957,1.0,7.0,7.0,10.0,-11.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
c2551ea089b7ebbc67a2ea8757152514,1,178.0,2.0,84.11,1.0,20.71,0.37351920682721845,2.0,2.5,4.0,10.5,-18.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0
12e7a2c201751ddc979e7a45cef500f3,1,104.0,1.0,130.56,1.0,15.56,0.13530434782608697,1.0,1.0,1.0,6.0,-15.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
9d9ab3b77f0416765b3fbedf94a942a4,1,83.0,1.0,50.25,1.0,11.85,0.30859375,1.0,1.0,1.0,4.0,-16.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
51838d41add414a0b1b989b7d251d9ee,1,171.0,3.0,103.62,1.0,12.086666666666666,0.1557987731015285,3.0,1.0,1.0,17.333333333333332,7.0,1.0,0.0,0.3333333333333333,1.0,1.6666666666666667,0.0,0.0,0.0,1.0,0.0
c63e44efa43f3947087aee96b388d949,1,161.0,1.0,141.15,1.0,28.15,0.2491150442477876,1.0,1.0,1.0,5.0,-17.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
bf0303939d54b8df5da4762bbaab1955,1,7.0,1.0,317.34,1.0,18.34,0.06133779264214047,1.0,9.0,9.0,7.0,-13.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
31b8fa2573bde01af4737e8ed29c348b,1,70.0,1.0,59.34,1.0,9.34,0.1868,1.0,1.0,1.0,3.0,-9.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
32de2a7a93dbfc527b3f584744b9c6ce,1,275.0,1.0,84.56,1.0,14.66,0.20972818311874106,1.0,1.0,1.0,17.0,-12.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
f9effeed3df9ae063a58c0759b96f8b2,1,215.0,1.0,267.8,5.0,77.8,0.4094736842105263,1.0,1.0,1.0,19.0,-2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
a7e7b19ff34ab885f7b7331de2417cf3,1,68.0,1.0,145.66,2.0,31.68,0.277943498859449,1.0,5.0,5.0,10.0,-16.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0
5229b8e4d7d2b9b676c2083c17b1ecd0,1,104.0,1.0,234.28,1.0,15.28,0.0697716894977169,1.0,1.0,1.0,6.0,-15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
bb4d84a2b45b22ed710ac8c0dec63d1a,1,115.0,2.0,66.525,1.0,11.58,0.28013678696968064,2.0,6.0,10.0,3.5,-15.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
c756e1910755edd88c00ac3f46baba4b,1,229.0,1.0,66.98,1.0,8.78,0.1508591065292096,1.0,1.0,1.0,4.0,-16.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
04e495a3f45df8b41be2e934bbc16961,0,196.0,1.0,132.26,1.0,21.27,0.19163888638616092,1.0,3.0,3.0,8.0,-14.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
c7a9a76a4b24a7e7b2caff982409b7ee,1,215.0,1.0,63.34,1.0,24.84,0.6451948051948052,1.0,5.0,5.0,20.0,-14.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0
e3bcfea9bab07b492391664fc1ffc28a,1,37.0,1.0,231.12,1.0,51.13,0.28407133729651646,1.0,1.0,1.0,23.0,-13.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
410979f3cfd34e467d4fad78bd0f0219,1,87.0,1.0,29.92,1.0,15.1,1.01889338731444,1.0,2.0,2.0,13.0,-13.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
7973a6ba9c81ecaeb3d628c33c7c7c48,1,63.0,2.0,57.870000000000005,1.0,16.38,0.4644008518834591,2.0,5.0,7.0,20.0,-3.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
781ae350edb16842380e81d7c7feb431,1,0.0,1.0,101.74,1.0,17.84,0.21263408820023835,1.0,5.0,5.0,36.0,17.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5ddb4fdd9cef2450d17ae20639815885,1,237.0,1.0,28.86,1.0,10.96,0.6122905027932962,1.0,1.0,1.0,10.0,-16.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
4f262a3ca91e56d568fd13240c3c3652,1,189.0,1.0,42.59,1.0,12.69,0.42441471571906353,1.0,3.0,3.0,6.0,-14.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
169381f51e4c3e926ef199364aeced22,1,297.0,1.0,609.9,1.0,20.0,0.03390405153415833,1.0,6.0,6.0,12.0,-28.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0
a8ee33e35637322a81a8c26592f6ce36,1,143.0,1.0,253.4,1.0,17.41,0.07377431247086741,1.0,1.0,1.0,11.0,-13.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
3d8614b1f25530eca12661dc8b10a2fb,1,56.0,1.0,28.62,1.0,8.72,0.43819095477386943,1.0,1.0,1.0,3.0,-16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0a5df23b922b9998bb7378f1ac03c98a,1,54.0,2.0,96.91499999999999,1.0,11.925,0.19143003855298482,2.0,1.0,1.0,5.5,-17.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0
2df79c0c80c225d537833abb01a1a8ca,1,147.0,1.0,74.03,1.0,14.13,0.23589315525876461,1.0,7.0,7.0,1.0,-11.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
e0b0f9beb31782e3174a67b875697ca0,1,237.0,1.0,155.0,1.0,25.4,0.19598765432098766,1.0,3.0,3.0,27.0,-15.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
d2f122bc3109d7fb2385daec2d6ef7f7,1,129.0,1.0,113.62,1.0,13.72,0.13733733733733733,1.0,1.0,1.0,5.0,-14.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
5179541696b879141c1f0bb532f988c9,1,1.0,1.0,161.77,1.0,15.77,0.10801369863013699,1.0,1.0,1.0,7.0,-16.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
48d4bf53229ec530405b4e461ae6adb0,1,33.0,1.0,95.52,2.0,16.54,0.20942010635603947,1.0,2.0,2.0,5.0,-7.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
daf7dfe5576b8c581e8353aa8608a008,1,238.0,1.0,309.72,3.0,33.75,0.12229590172844876,1.0,1.0,1.0,2.0,-17.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
0a11a4d0e9f9e864f03a7451f0f255b6,1,135.0,1.0,312.91,1.0,53.01,0.20396306271642942,1.0,1.0,1.0,7.0,-11.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
e63b7e65ecb65d0d1624a564fa2c8cff,1,62.0,1.0,22.79,1.0,15.79,2.255714285714286,1.0,1.0,1.0,8.0,-20.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
ed9fce60567d03fff71f9c06084c998e,1,209.0,1.0,53.83,1.0,24.84,0.8568471886857537,1.0,5.0,5.0,15.0,-17.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0
2f97fb04ba09cfa05b9e3b3af4e8e247,1,4.0,1.0,161.3,2.0,51.32,0.46663029641753045,1.0,1.0,1.0,17.0,-15.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0
22be41ad7d58c7774c6e036348a042d0,1,205.0,1.0,141.06,1.0,21.16,0.17648040033361134,1.0,1.0,1.0,11.0,-24.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
4521ca49d47fa50f2b98f0c71cbf5ae7,1,190.0,1.0,134.58,1.0,15.58,0.13092436974789917,1.0,1.0,1.0,7.0,-16.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
d2c89ba54e6cf93abd4ea9bb9e9fbf73,1,122.0,1.0,59.85,1.0,11.85,0.24687499999999998,1.0,1.0,1.0,8.0,-11.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
